;AUTX!#@;OUCH!#@;AÏE !#@;AUTSCH!#@;¡AY!#@;AHI!#@;AI!#@;ОЙ!#@;いてっ!#@;아야!#@;哎呦!#@;哎呦!#@;
;ESKERRIK ASKO...#@;THANKS...#@;MERCI...#@;DANKE...#@;GRACIAS...#@;OH, GRAZIE...#@;OBRIGADO...#@;СПАСИБО...#@;ありがとう…#@;고마워...#@;谢谢...#@;謝謝...#@;
;EZ ZAITEZ DISTRAITU.#MESEDEZ, ETORRI FABRIKARA.;DON'T GET DISTRACTED.#PLEASE COME TO THE FACTORY.;NE PERDS PAS TON TEMPS !#PASSE À L'USINE.;LASS DICH NICHT ABLENKEN.#BITTE KOMM ZUR FABRIK.;NO TE DISTRAIGAS.#ANDA, VEN A LA FÁBRICA.;NON TI DISTRARRE.#DEVI ANDARE ALLA FABBRICA.;NÃO SE DISTRAIA.#VENHA PARA A FÁBRICA.;НЕ ОТВЛЕКАЙСЯ.#ПОЖАЛУЙСТА, ИДИ НА ЗАВОД.;よりみちは きんもつです#こうじょうへ おこしください;다른 곳으로 새지 말고#어서 공장으로 가.;不要分神.#请来工厂.;不要分神.#請來工廠.;
;BERTAN DUZU EZPATA FABRIKA#IBILI AZKAR!;THE SWORD FACTORY IS#PRACTICALLY NEXT DOOR.#PLEASE HURRY UP!;L'USINE À ÉPÉES EST#JUSTE À CÔTÉ D'ICI.#DÉPÊCHE-TOI, S'IL TE PLAÎT !;DIE SCHWERTFABRIK IST#PRAKTISCH UM DIE ECKE.#BITTE BEEIL DICH!;LA FÁBRICA DE ESPADAS#ESTÁ AL LADITO.#¡DATE PRISA!;LA FABBRICA DI SPADE È#PRATICAMENTE DIETRO L'ANGOLO.#FAI IN FRETTA!;A FÁBRICA DE ESPADAS FICA#PRATICAMENTE AQUI DO LADO.#ANDE LOGO!;ЗАВОД МЕЧЕЙ НАХОДИТСЯ#БУКВАЛЬНО ЗА ДВЕРЬЮ.#ПОТОРОПИСЬ!;つるぎの こうじょうは#もう すぐそこ ですよ#ほらほら いそいで!;검 공장이#얼마 남지 않았어.#어서 서둘러!;剑厂就在旁边.#请快点!;劍廠就在旁邊.#請快點!;
;HAU LEHENDIK ERE GERTATU DA,#BAINA INOIZ EZ HAIN GAIZKI...;THIS ALL HAPPENED BEFORE,#BUT NEVER THIS BAD...;ON A DÉJÀ VÉCU DES MINUTES DIFFICILES,#MAIS JAMAIS À CE POINT...;ALL DAS IST SCHON OFT GESCHEHEN,#DOCH NIE WAR ES SO SCHLIMM...;ESTO YA HABÍA PASADO,#PERO NUNCA ASÍ.;ERA GIÀ SUCCESSO PRIMA,#MA STAVOLTA È PEGGIO...;ISSO JÁ ACONTECEU ANTES,#MAS NUNCA FOI TÃO GRAVE...;ВСЕ ТАКОЕ УЖЕ БЫВАЛО,#НО НЕ НАСТОЛЬКО ПЛОХИМ...;いままでも おなじような ことが おこりましたが#ここまで ひどいとは…;이런 저주는 예전에도 있었지만,#이렇게 심각한 적은 처음이야...;之前也发生过这样的状况,#但没这么糟…;之前也發生過這樣的狀況,#但沒這麼糟…;
;SUNTSITU MAKINA!#BERRIZ DENA BERRABIARAZI#BAINO LEHEN!;DESTROY THE MACHINE!#BEFORE EVERYTHING#RESETS AGAIN!;DÉTRUIS LA MACHINE !#AVANT QUE LE SYSTÈME#NE SE RÉINITIALISE !;ZERSTÖRE DIE MASCHINE!#BEVOR ALLES WIEDER#VON VORN BEGINNT!;¡DESTRUYE LA MÁQUINA#ANTES DE QUE TODO SE#REINICIE!;DISTRUGGI IL MACCHINARIO,#PRIMA CHE LA PRODUZIONE#SI RIATTIVI!;DESTRUA A MÁQUINA!#ANTES QUE TUDO RECOMECE#OUTRA VEZ!;УНИЧТОЖЬ МАШИНУ!#ПОКА ВСЕ СНОВА#НЕ СБРОСИЛОСЬ!;マシンを こわすのです!#すべてが リセット#されるまえに!;모든 것이#되돌아가기 전에#그 기계를 파괴해!;在一切恢复原位之前#销毁机器!;在一切恢復原位之前#銷毀機器!;
;AZKENEAN HEMEN ZAUDE!#FABRIKA OSOA MADARIKATZEN ARI DA...#MESEDEZ, SALBA GAITZAZU!;YOU'RE FINALLY HERE!#THE WHOLE FACTORY#IS GETTING CURSED...#PLEASE SAVE US!;TE VOILÀ ENFIN !#C'EST LE CHAOS DANS TOUTE L'USINE...#SAUVE-NOUS, JE T'EN SUPPLIE !;ENDLICH BIST DU HIER!#DIE GESAMTE FABRIK#WIRD VERFLUCHT...#BITTE RETTE UNS!;¡POR FIN LLEGAS!#TODA LA FÁBRICA ESTÁ MALDITA.#¡SÁLVANOS, POR FAVOR!;FINALMENTE SEI QUI!#UNA MALEDIZIONE SI È#ABBATTUTA SULLA FABBRICA...#SALVACI, TI PREGO!;VOCÊ CHEGOU, FINALMENTE!#A FÁBRICA TODA FOI#AMALDIÇOADA...#NOS SALVE, POR FAVOR!;НАКОНЕЦ ТЫ ЗДЕСЬ!#ВЕСЬ ЗАВОД НАКРЫВАЕТ#ПРОКЛЯТЬЕ...#ПОЖАЛУЙСТА, СПАСИ НАС!;やっと きてくれたのですね!#こうじょうが #のろわれて いるのです…#おねがい わたしたちを たすけて!;드디어 여기로 왔구나!#이 공장 전체가#저주받기 시작했어...#부디 우리를 구해줘!;你终于来了!#整个工厂#被诅咒了…#请帮帮我们!;你終於來了!#整個工廠#被詛咒了…#請幫幫我們!;
;EZPATA FABRIKAN#UTZI DUZU?#BERRESKURA EZAZU!;YOU LEFT YOUR SWORD#AT THE FACTORY?#GET IT BACK!;TU AS LAISSÉ TON ÉPÉE#À L'USINE ?#VA LA RÉCUPÉRER !;DU HAST DEIN SCHWERT IN#DER FABRIK GELASSEN?#GEH UND HOL ES!;¿TE HAS DEJADO LA ESPADA#EN LA FÁBRICA?#¡RECUPÉRALA!;HAI LASCIATO LA SPADA#NELLA FABBRICA?#VAI A RIPRENDERLA!;VOCÊ DEIXOU SUA ESPADA#NA FÁBRICA!#PEGUE-A DE VOLTA!;ТВОЙ МЕЧ ОСТАЛСЯ#НА ЗАВОДЕ?#ВЕРНИ ЕГО!;つるぎを どこかに#おいてきて しまったって?#とりに もどるんだ!;공장에 검을#두고 왔다고?#다시 가져와!;你把剑#留到工厂了么?拿回来!;你把劍#留到工廠了麼?拿回來!;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;LAGUNDU!;HELP!;À L'AIDE !;HILFE!;¡SOCORRO!;AIUTO!;SOCORRO!;НА ПОМОЩЬ!;たすけて!;살려줘!;求助!;求助!;
;EZ!;NO!;NON !;NEIN!;¡NO!;NO!;NÃO!;НЕТ!;そんな!;뭐 하는 거야!;不!;不!;
;MESEDEZ...#KRITIKA KONSTRUKTIBOAK BAKARRIK!;PLEASE...#CONSTRUCTIVE FEEDBACK ONLY!;S'IL TE PLAÎT...#RENDS-TOI UTILE !;BITTE...#NUR KONSTRUKTIVE KRITIK!;POR FAVOR...#¡SOLO CRÍTICAS CONSTRUCTIVAS!;PER FAVORE...#SOLO CRITICHE COSTRUTTIVE!;EI...#SÓ ACEITAMOS FEEDBACK CONSTRUTIVO!;ПОЖАЛУЙСТА...#ТОЛЬКО КОНСТРУКТИВНАЯ КРИТИКА!;けんせつてきな #ごいけんのみ うけつけます!;제발...#건설적인 것만 해줘!;请…#只有建设性的意见回馈!;請…#只有建設性的意見回饋!;
;MAKINAN ELKARTUKO GARA!;MEET US AT THE MACHINE!;RETROUVE-NOUS À LA MACHINE !;TRIFF UNS BEI DER MASCHINE!;¡NOS VEMOS EN LA MÁQUINA!;CI VEDIAMO AL MACCHINARIO!;NOS ENCONTRE NA MÁQUINA!;ТЫ НАЙДЕШЬ НАС У МАШИНЫ!;マシンの ばしょで あおう!;기계 앞에서 만나자!;来机器这见我们!;來機器這見我們!;
;BESTE BAT BAKARRIK!;ONLY ONE MORE TO GO!;PLUS QU'UN ET ON EST BONS !;DU HAST ES FAST GESCHAFFT!;¡SOLO UNO MÁS!;NE MANCA SOLO UNO!;SÓ FALTA MAIS UM!;ОСТАЛСЯ ВСЕГО ОДИН!;あと ひとりだ!;마지막 하나 남았어!;只有一个了!;只有一個了!;
;ERRESKATATU BESTE @ak!;RESCUE THE @ OTHERS!;SAUVE LES @ AUTRES !;RETTE DIE ANDEREN @!;¡RESCATA A LOS OTROS @!;RECUPERA GLI ALTRI @!;SALVE OS OUTROS @!;СПАСИ ЕЩЕ @!;のこり あと@ にん!;남은 @명도 구해줘!;救救@其他的!;救救@其他的!;
;EGINDA DAUKAGU!;WE GOT THIS!;ON A LA SITUATION EN MAIN !;WIR SCHAFFEN DAS!;¡ESTO ESTÁ HECHO!;CI PENSIAMO NOI!;PRONTO!;У НАС ПОЛУЧИТСЯ!;きっと うまくいく!;다 모였네!;我们控制了局势!;我們控制了局勢!;
;;;;;;;;;;;;;
;HARTU LASAI NIRE KAMERA ZAHARRA!;FEEL FREE TO GRAB MY OLD CAMERA!;JE TE DONNE MON VIEIL APPAREIL PHOTO !;NIMM DIR MEINE ALTE KAMERA!;¡COGE MI VIEJA CÁMARA, SI QUIERES!;PRENDI PURE LA MIA VECCHIA FOTOCAMERA!;PODE FICAR COM A MINHA#ANTIGA CÂMERA!;МОЖЕШЬ ВЗЯТЬ МОЮ СТАРУЮ КАМЕРУ!;わたしの カメラを すきに つかってくれ!;부디 내 낡은 카메라를 받아줘!;我的旧相机就在那,请便!;我的舊相機就在那,請便!;
;EZ DU ABENTURARAKO BALIO,#BAINA ARGAZKI POLITAK ATERATZEN DITU.#NIRE ORDENAGAILUAN#INFORMAZIO GEHIAGO DUZU!;IT'S NOT MUCH MUCH USE FOR ADVENTURING,#BUT DOES TAKE NICE PICTURES.#CHECK MY LAPTOP FOR MORE INFORMATION!;PAS TRÈS UTILE POUR L'AVENTURE,#MAIS IL PREND DE BELLES PHOTOS.#CONSULTE MON ORDINATEUR#POUR PLUS D'INFORMATIONS !;FÜR ABENTEUER TAUGT SIE SICHER#NICHT VIEL, DOCH SIE MACHT GUTE#BILDER. AUF MEINEM LAPTOP FINDEST#DU MEHR INFORMATIONEN!;NO VALE PARA IR DE AVENTURAS,#PERO SACA BUENAS FOTOS.#EN MI PORTÁTIL HAY MÁS INFORMACIÓN.;NON È UN GRANCHÉ PER LE AVVENTURE,#MA FA DELLE FOTO CARINE.#CERCA ALTRE INFO CON IL MIO PORTATILE!;NÃO SERVE MUITO PRA AVENTURAS,#MAS TIRA BOAS FOTOS.#VEJA MAIS INFORMAÇÕES NO MEU LAPTOP!;ДЛЯ ПРИКЛЮЧЕНИЙ НЕ ОЧЕНЬ ГОДИТСЯ,#НО СНИМАЕТ КЛАССНО.#У МЕНЯ В НОУТБУКЕ ЕСТЬ ПОДРОБНОСТИ!;ぼうけん むきかと きかれれば そうでもないが#いい しゃしんは とれるんだ#もっと しりたければ わたしの ノートパソコンを みるといい!;모험에 그렇게 많이는 사용하지 않았지만,#멋진 사진을 좀 찍었지.#자세히 알아보고 싶으면 내 PC를 확인해봐!;对历险没多大用处,#但照片拍的很好.#打开我的计算机查找更多信息!;對歷險沒多大用處,#但照片拍的很好.#打開我的電腦查找更多資訊!;
;EEEH, EZ EGIN HORI!;WHOA, DON'T DO THAT!;POURQUOI TANT DE HAINE ?;HEE, LASS DAS SEIN!;¡EH, NO HAGAS ESO!;OH, OH, NON FARLO!;EI, NÃO FAZ ISSO!;ЭЙ, НЕ ДЕЛАЙ ЭТОГО!;おっと やめてくれよ!;아야, 그러지 마!;我的天,不要这样做!;我的天,不要這樣做!;
;EEEH, HEMEN EZ!;WHOA, NOT IN HERE!;PAS D'EAU DANS MON LABO !;HEE, NICHT DA REIN!;¡OYE, AQUÍ NO!;NO, NON QUI!;EI, AQUI NÃO!;ОЙ, ТОЛЬКО НЕ СЮДА!;おっと そこじゃないだろ!;아야, 여기서 그러지 마!;我的天,没在这!;我的天,沒在這!;
;ZE POZA ORAINDIK FUNTZIONATZEAK!;GLAD IT STILL WORKS!;RAVI QU'IL MARCHE ENCORE !;OH, FUNKTIONIERT NOCH!;¡QUÉ BIEN QUE AÚN FUNCIONE!;CHE BELLO, FUNZIONA ANCORA!;QUE BOM QUE AINDA FUNCIONA!;ХОРОШО, ЧТО ЕЩЕ РАБОТАЕТ!;よかった まだつかえそうだ!;아직 멀쩡해서 다행이야!;幸好还能用!;幸好還能用!;
;ERROREA: KAMERARIK EZ;ERROR: NO CAMERA;ERREUR : PAS D'APPAREIL PHOTO;FEHLER: KEINE KAMERA;ERROR: FALTA CÁMARA;ERRORE: FOTOCAMERA NON RILEVATA;ERRO: SEM CÂMERA;ОШИБКА: НЕТ КАМЕРЫ;エラー：カメラを もっていません;오류: 카메라 없음;错误:没有照相机;錯誤:沒有照相機;
;ERROREA: JOKAMOLDERIK EZ;ERROR: NO MANNERS;ERREUR : AUCUN SAVOIR-VIVRE !;FEHLER: KEINE MANIEREN;ERROR: FALTAN MODALES;ERRORE: BUONE MANIERE NON RILEVATE;ERRO: SEM MODOS;ОШИБКА: НИКАКИХ МАНЕР;エラー：マナーが なっていません;오류: 예의 없음;错误:没有礼貌;錯誤:沒有禮貌;
;HEMEN ZURE ARGAZKIA:#@;FIND YOUR PICTURE AT:#@;RETROUVE TA PHOTO SUR :#@.;FINDE DEIN BILD HIER:#@;TU FOTO ESTÁ EN:#@;TROVERAI LA TUA FOTO SU:#@;VEJA SUA FOTO EM:#@;ИЩИ СВОЕ ФОТО НА:#@;しゃしんは こちら：#@;@에서#당신의 사진을 찾아보세요.;找到自己的图片:#@;找到自己的圖片:#@;
;BZZP#@;BZZP#@;BZZP#@;BZZP#@;*BZZP*#@;BZZP#@;BZZP#@;БЗ-ЗП#@;ピーッ#@;지직#@;噗滋#@;噗滋#@;
;BZZZZP;BZZZZP;BZZZZP;BZZZZP;*BZZZZP*;BZZZZP;BZZZZP;БЗ-З-ЗП;ブーー;지지지직;噗滋滋;噗滋滋;
;;;;;;;;;;;;;
;ENE! HEMEN GERTATUTAKOA#IKARRAGARRIA IZANGO ZEN.;WOW! SOMETHING TERRIBLE#MUST HAVE HAPPENED HERE.;WAOUH ! JE SENS QU'UN DRAME#A DÛ SE PRODUIRE ICI.;WOW! HIER MUSS ETWAS ÜBLES#GESCHEHEN SEIN.;¡OSTRAS! HA DEBIDO DE PASAR#ALGO TERRIBLE AQUÍ.;UAU! DEVE ESSERE SUCCESSO#QUALCOSA DI ORRIBILE QUI.;UAU! ALGO TERRÍVEL DEVE#TER ACONTECIDO AQUI.;ОГО! ДОЛЖНО БЫТЬ,#ЗДЕСЬ ПРОИЗОШЛО ЧТО-ТО УЖАСНОЕ!;きゃあ! なにか とんでもない ことが#おこったに ちがいないわ;세상에! 분명 무언가 끔찍한 일이#여기서 일어난 게 틀림없어.;天!这一定发生了#可怕的事.;天!這一定發生了#可怕的事.;
;;;;;;;;;;;;;
;ALTXORRAREN BILA ETORRI ZARA?#KAR! NABARI DA...#KARRAMARRO BAKARTIAREN MENDEBALDEAN IGERI EGIN,#ETA GERO HARRITXOAN IPARRALDERA.;YOU'RE HERE FOR THE TREASURE?#HA! I CAN TELL...#SWIM WEST OF THE LONELIEST CRAB,#THEN AT THE LITTLE ROCK HEAD NORTH!;TU CHERCHES LE TRÉSOR ? JE LE SAVAIS !#NAGE À L'OUEST DU CRABE SOLITAIRE...#PUIS AU ROCHER ÉMERGÉ, CAP AU NORD !;DU SUCHST NACH DEM SCHATZ?#HA! SIEHT MAN...#SCHWIMM WESTLICH VOM EINSIEDLERKREBS,#DANN BEIM KLEINEN FELS NACH NORDEN!;¿HAS VENIDO A POR EL TESORO?#¡JA! SE NOTA. NADA#HACIA EL OESTE DEL CANGREJO SOLITARIO,#Y LUEGO EN LA ROCA VE HACIA EL NORTE.;SEI QUI PER IL TESORO, VERO?#AH! ASCOLTA...#NUOTA A OVEST DAL GRANCHIO SOLITARIO,#POI, DAL PICCOLO SCOGLIO, VAI A NORD!;VOCÊ VEIO ATRÁS DO TESOURO?#HA! LOGO VI...#NADE PARA OESTE DO CARANGUEJO ISOLADO,#DEPOIS DA PEDRA VÁ PARA O NORTE!;ТЫ ЗДЕСЬ ИЩЕШЬ СОКРОВИЩА?#ХА! Я МОГУ СКАЗАТЬ...#К ЗАПАДУ ОТ САМОГО ОДИНОКОГО КРАБА,#У МАЛЕНЬКОЙ СКАЛЫ НА СЕВЕР!;たからを さがしに ここへ きたって?#ホゥ! そうじゃろうとも…#ひとりぼっちの カニより にしへ すすめ#ちいさな いわを みつけたら きたへ !;보물을 찾으러 왔다고?#하! 알려주지...#홀로 있는 게의 서쪽 방향으로 수영한 다음#작은 바위에서 북쪽으로 가렴!;你来这是为了宝藏么?#天!我知…#游到最孤单的那只螃蟹西边,#之后看到小岩石向北游!;你來這是為了寶藏麼?#天!我知…#遊到最孤單的那只螃蟹西邊,#之後看到小岩石向北遊!;
;;;;;;;;;;;;;
;NIRE PLANA ONGI DABIL?#DEUSEK EZIN NAU GELDITU ORAIN!#MWKARKAR!;MY PLAN IS WORKING?#NOTHING CAN STOP ME NOW!#MWAHAHA!;MON PLAN FONCTIONNE ?#RIEN NE PEUT PLUS M'ARRÊTER !#MOUAHAHA !;MEIN PLAN FUNKTIONIERT?#NICHTS KANN MICH MEHR AUFHALTEN!#MWAHAHA!;¿MI PLAN ESTÁ FUNCIONANDO?#¡NADA PUEDE DETENERME AHORA!#¡MUAJA, JA, JA!;IL MIO PIANO FUNZIONA!#NIENTE MI FERMERÀ!#AH AH AH!;MEU PLANO ESTÁ DANDO CERTO?#NADA VAI ME DETER AGORA!#MUAHAHAHA!;МОЙ ПЛАН РАБОТАЕТ?#МЕНЯ НИЧТО НЕ ОСТАНОВИТ!#МУА-ХА-ХА!;けいかくは じゅんちょうかね?#わたしが このよの ルールさ!#ガハハハハ!;내 계획이 잘 먹혀들고 있나?#이제 그 무엇도 나를 막을 수 없다!#으하하하하!;我的计划奏效了么?没有什么能够阻止我了!#哇哈哈哈!;我的計畫奏效了麼?沒有什麼能夠阻止我了!#哇哈哈哈!;
;EZ!#ORAIN ZU ZARA FRESKATU#BEHAR DUENA!;NO!#YOU'RE THE ONE#WHO NEEDS TO COOL DOWN!;NON !#C'EST TOI QUI A BESOIN DE#TE RAFRAÎCHIR LES IDÉES !;NEIN!#EINE ABKÜHLUNG#BRAUCHST WOHL DU!;¡NO!#¡AHORA ERES TÚ QUIEN#NECESITA REFRESCARSE!;NO!#SEI TU CHE DEVI#RINFRESCARTI LE IDEE!;NÃO!#É VOCÊ QUE PRECISA#ESFRIAR A CUCA!;НЕТ!#ЭТО ТЕБЕ ЗДЕСЬ#НУЖНО ОСТЫТЬ!;おい!#あたまを ひやすべきは#きみの ほうでは ないのかね?!;이런!#교육이 조금 필요한#녀석이로군!;不!#你需要#冷静下来!;不!#你需要#冷靜下來!;
;EZIN DUZU HAU GELDITU!#MINUTU BATEN BURUAN#BERRIZ EGINGO DUT!;YOU CAN'T END THIS!#IN A MINUTE I'LL#DO IT ALL AGAIN!;TU PERDS TON TEMPS !#DANS UNE MINUTE,#JE RECOMMENCERAI !;KEINE CHANCE!#IN EINER MINUTE#TUE ICH ES WIEDER!;¡NO PUEDES PONER FIN A ESTO!#¡VOLVERÉ A LA CARGA#EN UN PERIQUETE!;È INUTILE CERCARE DI FERMARE#TUTTO! LO FARÒ RIPARTIRE#IN UN ATTIMO!;VOCÊ NÃO É PÁREO PRA MIM!#POSSO FAZER TUDO DE NOVO!;ТЫ НЕ ПОЛОЖИШЬ ЭТОМУ КОНЕЦ!#ЧЕРЕЗ МИНУТУ#Я ЗАНОВО ВСЕ СДЕЛАЮ!;おぼえておけ!#すぐに わたしが#しかえし してやる!;네가 날 막을 수 있을 것 같냐?!#일 분 후, 나는#다시 반복할 것이다!;你不要这样做!#一分钟内我会#再做一遍!;你不要這樣做!#一分鐘內我會#再做一遍!;
;ZERTAN ARI ZARA?#BERANDUEGI DA NI GELDIARAZTEKO!#MWAKARKAR!;WHAT ARE YOU DOING?#IT'S TOO LATE TO STOP ME NOW!#MWAHAHAHAHA!;ÇA NE SERT À RIEN !#C'EST TROP TARD POUR M'ARRÊTER !#MOUAHAHAHAHA !;WAS TUST DU DENN?#ES IST ZU SPÄT, UM MICH AUFZUHALTEN!#MWAHAHAHAHA!;¿QUÉ HACES?#¡ES TARDE PARA DETENERME YA!#¡MUAJA, JA, JA!;COSA STAI FACENDO?#È TROPPO TARDI PER FERMARMI!#AH AH AH AH AH!;O QUE ESTÁ FAZENDO?#JÁ É TARDE DEMAIS PRA ME DETER!#MUAHAHAHAHA!;ЧТО ТЫ ДЕЛАЕШЬ?#ТЕПЕРЬ МЕНЯ НЕ ОСТАНОВИТЬ!#МУА-ХА-ХА-ХА!;なにを しているのだね?#もはや だれも わたしを とめられんよ!#ワハハハハハハ!;무슨 짓을 하는 거냐?#이미 나를 막기엔 너무 늦었거늘!#으하하하하하하!;你在干嘛?#现在阻止我就太晚了!#哇哈哈哈!;你在幹嘛?#現在阻止我就太晚了!#哇哈哈哈!;
;SEGUNDO GUTXI BARRU,#DENA BERRIRO PREST ETA#MARTXAN EGONGO DA!;IN A FEW SECONDS EVERYTHING#WILL BE UP AND RUNNING AGAIN!;DANS QUELQUES SECONDES,#MON PLAN REPRENDRA COMME PRÉVU !;EIN PAAR SEKUNDEN NOCH,#UND ALLES LÄUFT WIEDER!;¡DENTRO DE UNOS SEGUNDOS,#TODO VOLVERÁ A FUNCIONAR!;IN POCHI SECONDI, TUTTO#RIPRENDERÀ A FUNZIONARE!;DENTRO DE SEGUNDOS,#TUDO VOLTARÁ A FUNCIONAR DE NOVO!;ЧЕРЕЗ НЕСКОЛЬКО СЕКУНД ВСЕ#ОБНОВИТСЯ И НАЧНЕТСЯ ЗАНОВО!;あと すこし したら きっと#なにもかも もとどおりに なるのだから!;어차피 몇 초만 있으면#모든 것이 원래대로 되돌아가게 될 것이다!;几十秒后,一切#将再次运转!;幾十秒後,一切#將再次運轉!;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;JAKIN-MINA DA#TRESNARIK ZORROTZENA.;CURIOSITY IS THE#SHARPEST TOOL.;LA CURIOSITÉ EST#UNE GENTILLE QUALITÉ.;NEUGIER IST DAS#BESTE WERKZEUG.;LA CURIOSIDAD ES LA#HERRAMIENTA MÁS AFILADA.;LA CURIOSITÀ È#L'ARMA PIÙ AFFILATA.;A CURIOSIDADE É A#FERRAMENTA MAIS AFIADA.;ЛЮБОПЫТСТВО —#САМЫЙ ТОЧНЫЙ ИНСТРУМЕНТ.;こうきしん こそが#さいこうの ぶきになる;호기심은#날카로운 도구지.;好奇是#最有用的武器!;好奇是#最有用的武器!;
;BAI, HORIXE!;YES, EXACTLY!;TU ES SUR LA BONNE VOIE !;JA, RICHTIG!;¡SÍ, JUSTO!;È PROPRIO QUESTO CHE INTENDEVO!;SIM, ISSO MESMO!;ДА, ИМЕННО!;そうさ そうだとも!;그래, 바로 이거야!;是的,没错!;是的,沒錯!;
;ITZULINGURURIK GABE.;A BLUNT APPROACH.;GENTILLE QUALITÉ, JE T'AI DIT.;EINE EINFACHE VORGEHENSWEISE.;SIN RODEOS.;CHE APPROCCIO DIRETTO...;QUE BRUSCO.;ГЛУПЫЙ ПОДХОД.;つかいかたを まちがっている;접근법이 둔한걸.;直截了当的方法.;直截了當的方法.;
;BIKAIN!;NICE!;ÇA, C'EST GENTIL !;SCHÖN!;¡GENIAL!;NON MALE!;LEGAL!;ЗДОРОВО!;いいね!;멋진데!;好的!;好的!;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;HAU GARAIZ IRISTEA ESPERO DUT.#EZ EZPATA UKITU!#BERRIRO DIOT: EZ UKITU EZPATA!;I HOPE THIS REACHES YOU IN TIME.#DO NOT TOUCH THE SWORD!#I REPEAT: DO NOT TOUCH THE SWORD!;J'ESPÈRE QUE TU RECEVRAS#CETTE LETTRE À TEMPS.#NE TOUCHE PAS À L'ÉPÉE !#JE RÉPÈTE : NE TOUCHE PAS À L'ÉPÉE !;ICH HOFFE, DU ERHÄLTST DIES#RECHTZEITIG. RÜHR DAS SCHWERT#NICHT AN! ICH WIEDERHOLE:# RÜHR DAS SCHWERT NICHT AN!;ESPERO QUE ESTO TE LLEGUE A TIEMPO.#¡NO TOQUES LA ESPADA!#REPITO: ¡NO TOQUES LA ESPADA!;SPERO CHE LA RICEVERAI IN TEMPO.#NON TOCCARE LA SPADA!#RIPETO: NON TOCCARE LA SPADA!;ESPERO QUE VOCÊ LEIA A TEMPO.#NÃO TOQUE NA ESPADA!#REPETINDO: NÃO TOQUE NA ESPADA!;Я НАДЕЮСЬ, ТЫ ПОЛУЧИШЬ ЭТО ВОВРЕМЯ.#НЕ ТРОГАЙ МЕЧ!#ПОВТОРЯЮ: НЕ ТРОГАЙ МЕЧ!;このてがみが ぶじに とどいていると いいのだが#つるぎには けっして さわるな!#くりかえす つるぎには けっして さわるな!;이 편지가 제때 도착해야 할 텐데.#절대로 검을 만지지 마!#알겠어? 절대로 검을 만지지 말라고!;我希望能及时送达.#别碰剑!#再说一次:别碰剑!;我希望能及時送達.#別碰劍!#再說一次:別碰劍!;
;AU GRIZ RSTEA SPRO DT...#Z ZPTA KITU!#BERRIRO BERRIRO DT: Z UKI ITU ZPTA!;I HPPP THISRACHEEE YU INTIME....#DO     NOTOCHHSEWORD!#I REPET REPET: DON'''T TOU CHT S!WROD;J'ESPP UTVRECA#CTT LETT MPES.#NE PSTOUUHCÉPÉÉÉ !#JE RÉPÈT RÉPÈT : NE PSTOUUHCÉPÉÉÉ !;ICCC HFDUUU ERHST DIIIIES#RECHTZEITIG. RÖAN    SHWR#NCTN! IH W DHLLE: RHHHS SCCCWT NIHTTN!;SSPRO QUST LLLLEEG ATEMPOO...#¡NOTTQSSS AAA SPAAAD!#REPPPTO: ¡NNN TQUEES L ESPAD!;SPRRR CHERCVIVECERAI INTEEEM...#NOO TCCREEELASPA DD!#RIPERIPERIPETO: NONNOTO CCRELA! SDAPA;ESSSPP PESQ VCEÊ AAA TMM...#N TQE NA ESSSSSSPDDD!#RE PTN  DO: N   O TQQE NN ESP!ADA;Я НАДЕССС ТЫПОЛЛ ЭТ ОВОРМЯ...#НЕ    ТРОГМАЕЧ!#ПОВТОР ПОВТОР: НЕТ РОГ АЙ М!ЧЕ;このてが じに とどいている いいな…#つきには けつ さわるな!#いかへ つるには けつて さわるな!;가 지이편때 제 야도해 텐 착데할....#만로 검절지 지마대 을!#알어겠? 을로 절검대 말지 라!지만;我希月熊及时送达.#另石剑!#再说一欠:别石并剑!;我希月熊及時送達.#另石劍!#再說一欠:別石並劍!;
;;;;;;;;;;;;;
;ASPALDI UTZI GENION#BIDALKETAK EGITEARI.;WE STOPPED SHIPPING#A WHILE AGO.;ÇA FAIT UN MOMENT#QU'ON A ARRÊTÉ LES LIVRAISONS.;WIR VERSENDEN SCHON EINE#WEILE NICHT MEHR.;DEJAMOS LOS ENVÍOS#HACE TIEMPO.;ABBIAMO INTERROTTO#LE SPEDIZIONI DA UN PO'.;INTERROMPEMOS AS#REMESSAS HÁ ALGUM TEMPO.;МЫ УЖЕ ДАВНО#ПЕРЕСТАЛИ ВОЗИТЬ ГРУЗЫ.;すこしまえに#はいそうを とめたんだ;우린 얼마 전부터#배달을 멈췄어.;我们刚才#就停止了购物。;我們剛才#就停止了購物。;
